age,income,loan_amount,credit_score,employment_years,previous_defaults,num_open_accounts,credit_history_years,monthly_debt,debt_to_income_ratio,loan_purpose,home_ownership,education,marital_status,risk
42,22122,500,656,23,0,8,19,2184.62,1.185,debt_consolidation,rent,high_school,single,1
64,90443,36399,571,12,0,14,17,2731.82,0.362,small_business,mortgage,high_school,married,0
45,38288,42270,708,20,1,2,20,2939.62,0.921,other,mortgage,bachelor,single,1
69,42869,22429,763,32,0,9,18,132.77,0.037,debt_consolidation,mortgage,master,single,1
47,56211,16077,566,19,1,11,19,499.23,0.107,small_business,mortgage,bachelor,single,0
62,42408,11743,539,4,0,7,2,2428.53,0.687,other,rent,bachelor,single,1
48,83299,9432,621,23,0,7,22,125.48,0.018,car,rent,bachelor,married,0
36,105333,29528,564,34,1,10,29,3644.73,0.415,other,rent,bachelor,married,0
35,43564,14792,560,29,0,10,5,2009.68,0.554,debt_consolidation,rent,master,single,1
67,49194,35087,551,27,0,12,17,1105.29,0.27,medical,rent,bachelor,married,1
71,55916,15418,636,6,0,5,26,1635.9,0.351,car,mortgage,high_school,married,0
64,73526,10051,621,34,1,8,14,3418.03,0.558,debt_consolidation,rent,master,single,0
72,56162,7784,676,29,0,10,13,3716.05,0.794,education,own,bachelor,single,0
23,94681,6075,610,33,1,1,23,553.32,0.07,home_improvement,rent,bachelor,married,0
57,88665,21169,564,38,0,3,20,3134.05,0.424,debt_consolidation,rent,master,single,0
71,30363,500,648,8,0,9,21,2355.09,0.931,debt_consolidation,own,high_school,single,1
27,73024,5179,575,11,1,1,7,2383.46,0.392,education,rent,bachelor,single,0
41,98008,30893,685,28,0,11,10,3139.86,0.384,education,other,bachelor,single,0
29,47630,3545,533,9,0,8,10,969.09,0.244,home_improvement,rent,high_school,married,1
59,52643,25352,498,26,0,6,11,2171.08,0.495,home_improvement,rent,master,single,0
38,46799,500,537,18,0,12,15,1345.48,0.345,debt_consolidation,rent,bachelor,married,1
24,47323,32401,620,12,1,13,6,468.6,0.119,debt_consolidation,rent,bachelor,single,1
45,18288,500,629,36,0,10,26,509.81,0.335,medical,mortgage,master,married,1
34,26792,4483,659,31,0,5,2,632.24,0.283,medical,rent,high_school,single,1
70,61936,23164,610,14,0,12,1,2498.11,0.484,car,rent,bachelor,married,0
29,97839,18244,590,20,0,6,2,512.74,0.063,other,rent,master,single,0
46,44665,25739,750,2,1,11,7,2323.4,0.624,other,rent,master,single,1
73,43931,500,731,7,0,5,19,2394.36,0.654,debt_consolidation,own,bachelor,single,1
22,102538,11558,719,5,0,9,7,3625.2,0.424,debt_consolidation,rent,bachelor,married,0
40,32293,7595,671,28,1,2,3,2542.87,0.945,debt_consolidation,mortgage,high_school,single,1
48,18468,1677,677,18,3,10,22,3943.79,2.562,home_improvement,rent,master,married,1
67,39287,22150,593,16,0,6,12,220.87,0.067,small_business,rent,bachelor,single,1
27,43430,26316,660,9,1,12,21,2846.17,0.786,debt_consolidation,mortgage,bachelor,divorced,1
64,16313,10957,584,32,1,4,25,203.27,0.15,other,own,high_school,single,1
28,56798,33272,576,12,0,3,16,2944.57,0.622,home_improvement,own,bachelor,single,0
67,83711,5571,536,26,0,12,28,1604.82,0.23,education,mortgage,high_school,single,0
55,27851,32981,678,11,1,5,26,2484.1,1.07,debt_consolidation,rent,master,single,1
34,62189,21746,661,1,0,2,23,1307.2,0.252,debt_consolidation,rent,master,married,0
37,69898,500,628,9,1,3,21,720.51,0.124,car,mortgage,high_school,single,0
56,57915,38778,619,20,0,7,17,2921.7,0.605,medical,rent,bachelor,married,0
70,64642,9666,521,22,0,12,4,3628.02,0.673,medical,own,bachelor,single,0
60,64933,29461,667,0,0,1,11,815.97,0.151,car,mortgage,master,married,0
24,39681,16747,627,32,0,2,1,3690.74,1.116,debt_consolidation,own,master,married,1
22,97464,19493,712,25,1,3,9,646.71,0.08,debt_consolidation,mortgage,other,widowed,0
26,91193,25814,660,14,0,10,6,2969.08,0.391,other,mortgage,bachelor,single,0
74,89747,25150,699,21,0,13,14,3841.84,0.514,debt_consolidation,rent,high_school,married,0
62,85341,10894,649,24,1,14,26,674.75,0.095,car,mortgage,bachelor,single,0
24,20625,21379,662,0,0,12,25,1796.85,1.045,home_improvement,rent,master,single,1
74,83151,20479,715,25,0,14,21,1416.08,0.204,debt_consolidation,mortgage,high_school,married,0
49,76390,17562,636,20,1,7,6,1615.06,0.254,debt_consolidation,mortgage,high_school,single,0
38,21586,12560,683,23,0,4,14,3037.24,1.688,other,mortgage,master,married,1
46,54627,17538,618,38,0,12,15,2678.64,0.588,medical,mortgage,master,divorced,0
64,66919,38610,640,15,0,8,21,3877.88,0.695,medical,mortgage,high_school,married,0
54,101607,11459,761,31,0,8,25,823.37,0.097,debt_consolidation,rent,master,single,0
30,78118,29479,694,15,0,1,0,2218.72,0.341,debt_consolidation,own,high_school,married,0
56,38385,7564,612,12,0,5,14,1851.59,0.579,other,rent,high_school,single,1
34,102384,4424,679,31,0,1,2,3683.54,0.432,debt_consolidation,own,bachelor,married,0
51,61094,54316,560,23,1,13,9,141.42,0.028,home_improvement,mortgage,master,married,0
68,53603,21480,634,12,0,13,15,3957.76,0.886,debt_consolidation,own,bachelor,married,0
35,51822,21810,583,10,0,7,1,1970.96,0.456,home_improvement,mortgage,bachelor,divorced,0
28,19411,22142,681,14,0,13,16,2539.6,1.57,debt_consolidation,mortgage,high_school,single,1
34,57255,31887,636,9,0,4,0,1504.2,0.315,other,rent,bachelor,divorced,0
43,72437,19893,669,2,0,12,3,3424.85,0.567,other,mortgage,bachelor,married,0
60,50365,24794,704,15,0,8,10,2291.75,0.546,debt_consolidation,rent,other,single,0
41,70511,2297,617,16,1,12,16,2684.96,0.457,debt_consolidation,mortgage,master,single,0
36,38390,26807,620,24,0,8,1,2630.73,0.822,car,rent,high_school,married,1
65,56476,12158,647,29,1,9,0,1519.53,0.323,debt_consolidation,mortgage,bachelor,single,0
38,67913,23060,589,34,0,11,28,396.36,0.07,other,rent,high_school,single,0
67,64741,500,649,36,0,6,27,3250.05,0.602,debt_consolidation,rent,other,married,0
73,19863,22562,652,12,0,7,27,1229.89,0.743,debt_consolidation,own,high_school,single,1
44,49024,500,666,23,1,7,5,3410.83,0.835,car,own,high_school,divorced,0
46,101936,11689,679,37,0,5,10,2473.71,0.291,small_business,mortgage,bachelor,married,0
45,47688,500,537,25,0,7,3,1479.45,0.372,home_improvement,own,high_school,married,1
65,60395,22596,560,8,1,9,23,2417.56,0.48,debt_consolidation,rent,high_school,single,0
61,57831,15831,568,18,0,12,10,2617.42,0.543,debt_consolidation,rent,bachelor,married,0
49,99205,5750,656,27,0,14,4,2856.07,0.345,debt_consolidation,rent,bachelor,married,0
35,92259,32212,630,6,0,12,29,3307.12,0.43,debt_consolidation,rent,bachelor,married,0
65,80188,4240,491,21,0,11,9,723.04,0.108,medical,rent,master,single,0
21,35668,500,786,29,0,4,4,3782.16,1.272,debt_consolidation,mortgage,bachelor,married,1
45,68979,21163,510,36,0,13,26,1702.28,0.296,debt_consolidation,rent,phd,married,0
27,74198,500,652,15,0,2,26,3455.76,0.559,education,rent,high_school,single,0
29,42534,4619,689,35,0,8,23,959.87,0.271,debt_consolidation,mortgage,high_school,single,1
44,38237,8791,599,4,0,7,26,213.21,0.067,medical,rent,bachelor,married,1
21,102625,500,694,28,0,6,25,2336.04,0.273,education,rent,high_school,single,0
64,52479,9075,579,22,1,7,21,1366.2,0.312,debt_consolidation,rent,high_school,widowed,0
28,100374,500,661,5,0,12,21,3939.4,0.471,other,own,master,married,0
44,84927,16948,497,35,0,3,2,507.37,0.072,home_improvement,rent,bachelor,married,0
31,70196,500,732,32,0,6,28,284.48,0.049,car,own,high_school,married,0
71,71313,15361,650,15,0,10,5,275.57,0.046,other,mortgage,master,single,0
37,24989,28944,538,33,1,14,25,945.81,0.454,other,rent,high_school,married,1
28,65169,24388,694,25,0,7,12,2358.85,0.434,debt_consolidation,rent,bachelor,married,0
55,95425,14019,764,36,0,7,15,2071.7,0.261,debt_consolidation,mortgage,high_school,married,0
55,77033,3135,585,12,0,13,6,1465.3,0.228,debt_consolidation,own,high_school,married,0
53,63858,16910,635,16,1,13,17,446.29,0.084,small_business,rent,high_school,single,0
25,102798,6651,613,31,2,5,2,1011.57,0.118,other,rent,master,married,0
62,55373,17413,596,31,0,3,5,818.17,0.177,debt_consolidation,rent,high_school,married,0
59,44511,500,588,27,0,2,9,3008.1,0.811,debt_consolidation,rent,bachelor,single,1
61,63845,24687,604,28,1,13,15,3141.79,0.591,small_business,own,high_school,single,0
48,79161,15398,608,24,0,7,24,3130.35,0.475,debt_consolidation,mortgage,bachelor,married,0
27,17055,41502,625,21,0,4,12,3879.26,2.729,debt_consolidation,rent,bachelor,married,1
29,67121,30672,619,26,0,2,24,3548.53,0.634,debt_consolidation,own,bachelor,single,0
28,80258,21794,703,37,1,13,23,2041.44,0.305,debt_consolidation,rent,bachelor,married,0
32,53258,13512,697,19,0,8,23,1718.25,0.387,other,mortgage,master,single,0
54,87674,6244,542,23,0,2,8,3671.5,0.503,other,mortgage,high_school,married,0
53,76029,26308,608,7,0,6,26,2483.78,0.392,debt_consolidation,rent,high_school,single,0
68,113534,12246,737,13,0,4,15,1248.15,0.132,other,rent,master,single,0
43,41234,29020,670,38,0,9,10,2301.41,0.67,debt_consolidation,rent,other,single,1
44,80767,19809,673,13,0,5,8,3969.38,0.59,medical,own,bachelor,married,0
57,34566,19895,666,4,0,4,9,3412.93,1.185,debt_consolidation,mortgage,bachelor,married,1
55,19615,22134,631,20,0,8,10,1196.99,0.732,small_business,rent,high_school,single,1
64,9111,3964,647,14,0,3,28,3816.52,5.026,debt_consolidation,mortgage,bachelor,single,1
60,73458,2734,621,35,1,14,24,3927.7,0.642,debt_consolidation,mortgage,high_school,married,0
42,64606,2319,709,32,0,13,20,1001.55,0.186,other,rent,other,single,0
47,48023,27569,622,16,0,9,21,3592.81,0.898,debt_consolidation,rent,high_school,single,1
55,15662,3651,642,19,1,8,14,3544.49,2.716,other,mortgage,bachelor,divorced,1
21,42740,5146,701,0,2,14,20,255.04,0.072,debt_consolidation,rent,bachelor,married,1
55,60102,21450,627,15,0,12,12,2711.79,0.541,debt_consolidation,own,high_school,single,0
57,79829,11975,645,17,0,14,16,1290.59,0.194,medical,mortgage,bachelor,married,0
67,59586,10442,624,9,0,12,3,2730.99,0.55,home_improvement,rent,other,married,0
34,66301,9401,643,22,2,8,29,3662.88,0.663,debt_consolidation,own,bachelor,married,0
23,50596,500,627,17,0,10,10,2045.24,0.485,debt_consolidation,rent,master,married,0
21,103730,3397,612,8,0,5,28,1716.21,0.199,home_improvement,own,high_school,married,0
25,34543,29178,600,29,0,1,0,3693.97,1.283,debt_consolidation,rent,high_school,married,1
46,42519,8527,637,12,0,11,27,3899.05,1.1,home_improvement,mortgage,phd,married,1
34,47691,500,721,30,1,10,0,342.72,0.086,car,mortgage,high_school,married,1
59,73567,2904,693,12,0,13,2,3699.11,0.603,car,rent,bachelor,married,0
47,34028,19318,539,31,0,9,22,422.8,0.149,other,rent,bachelor,single,1
29,63392,19080,619,16,0,2,14,1415.42,0.268,car,mortgage,bachelor,single,0
35,64122,11468,605,2,0,1,0,3074.04,0.575,debt_consolidation,mortgage,bachelor,divorced,0
35,42641,6729,540,0,0,6,22,3130.44,0.881,debt_consolidation,rent,bachelor,divorced,1
46,68249,500,669,4,0,1,25,2930.71,0.515,home_improvement,other,phd,married,0
62,34804,19418,643,31,1,10,29,252.54,0.087,debt_consolidation,mortgage,high_school,single,1
33,32073,25054,791,24,0,10,25,618.57,0.231,debt_consolidation,rent,bachelor,single,1
71,62490,30466,626,4,1,13,28,3751.24,0.72,medical,mortgage,high_school,single,0
52,18506,1672,595,36,0,10,15,417.7,0.271,medical,rent,bachelor,married,1
59,8000,31386,588,22,0,7,16,406.33,0.609,car,own,high_school,single,1
69,73320,14320,618,11,1,14,8,3359.02,0.55,home_improvement,rent,bachelor,married,0
72,86224,15318,691,33,0,7,4,2600.94,0.362,debt_consolidation,rent,high_school,married,0
52,48329,25723,699,22,0,13,28,1471.46,0.365,car,rent,high_school,married,1
24,43298,8508,850,15,0,1,5,746.27,0.207,small_business,other,bachelor,divorced,1
50,85138,500,565,4,0,10,14,3548.26,0.5,education,rent,high_school,married,0
57,31361,23458,656,27,0,13,27,3955.3,1.513,debt_consolidation,rent,bachelor,married,1
43,25915,19182,602,5,1,5,8,294.89,0.137,education,mortgage,bachelor,single,1
59,77690,10676,674,12,1,3,26,2261.04,0.349,education,rent,high_school,divorced,0
65,60225,22470,746,29,0,13,2,1119.08,0.223,debt_consolidation,rent,bachelor,single,0
35,86621,24923,710,25,1,13,18,3346.31,0.464,debt_consolidation,mortgage,master,single,0
63,8000,500,565,16,0,11,20,1449.69,2.174,small_business,rent,other,married,1
49,24983,15270,697,8,0,12,12,2887.05,1.387,home_improvement,mortgage,bachelor,single,1
56,60358,500,502,15,0,14,12,2204.14,0.438,small_business,rent,high_school,married,0
33,70441,13515,483,17,0,2,22,2211.94,0.377,debt_consolidation,mortgage,high_school,married,0
52,81174,10527,632,12,0,11,2,3446.2,0.509,debt_consolidation,rent,master,married,0
27,64370,20902,692,28,1,5,19,1934.58,0.361,debt_consolidation,mortgage,bachelor,divorced,0
71,64116,2123,674,23,2,5,13,3397.84,0.636,home_improvement,rent,high_school,married,0
42,50264,9942,783,12,0,2,1,1517.36,0.362,home_improvement,rent,bachelor,single,0
48,99772,500,657,24,0,6,24,781.65,0.094,medical,rent,master,single,0
22,32424,21690,642,0,0,7,9,1876.36,0.694,education,rent,bachelor,divorced,1
62,68975,13939,730,8,0,1,8,2043.59,0.356,other,rent,master,married,0
65,35304,16046,623,3,0,3,12,1965.69,0.668,debt_consolidation,mortgage,high_school,single,1
73,73369,500,677,27,0,4,10,3252.49,0.532,debt_consolidation,mortgage,bachelor,married,0
26,34074,19776,681,11,0,2,1,2302.25,0.811,debt_consolidation,rent,bachelor,single,1
48,78595,34832,581,23,0,10,15,3564.93,0.544,home_improvement,rent,bachelor,single,0
48,62802,12781,677,8,0,11,4,2105.32,0.402,debt_consolidation,mortgage,bachelor,married,0
64,103615,22801,802,34,0,5,0,976.39,0.113,car,own,bachelor,single,0
64,52974,4552,729,37,0,13,7,605.03,0.137,debt_consolidation,rent,bachelor,single,0
40,70624,14077,591,34,0,4,21,3486.62,0.592,debt_consolidation,rent,high_school,married,0
50,40508,500,813,32,1,11,15,319.07,0.095,home_improvement,rent,other,married,1
31,52802,24457,698,34,0,2,13,558.68,0.127,debt_consolidation,rent,master,married,0
48,62643,16918,679,19,0,11,25,348.27,0.067,small_business,rent,bachelor,married,0
45,21819,500,643,1,0,1,25,1752.56,0.964,medical,own,high_school,married,1
59,24559,5377,697,25,0,8,1,2177.2,1.064,debt_consolidation,mortgage,high_school,married,1
53,74996,15733,657,12,0,2,17,177.51,0.028,small_business,rent,master,married,0
21,56347,26086,651,29,1,4,25,2110.79,0.45,home_improvement,own,phd,single,0
47,45176,32754,640,31,0,12,20,1635.66,0.434,home_improvement,rent,high_school,single,1
72,41575,13390,718,35,0,10,6,3117.22,0.9,debt_consolidation,rent,bachelor,married,1
33,42537,500,710,18,0,5,24,3336.83,0.941,education,rent,bachelor,single,1
61,62813,17861,639,21,1,2,24,2771.37,0.529,debt_consolidation,rent,high_school,married,0
23,71125,36418,543,0,1,10,11,1946.63,0.328,debt_consolidation,mortgage,bachelor,single,0
59,8000,500,652,10,0,9,14,942.98,1.414,debt_consolidation,rent,bachelor,single,1
26,95320,3544,599,25,0,2,26,3403.75,0.428,home_improvement,mortgage,high_school,married,0
28,93542,22331,616,18,0,6,21,1432.51,0.184,car,mortgage,high_school,married,0
47,8000,16843,641,18,1,7,1,1489.54,2.234,other,rent,high_school,married,1
29,87148,8459,575,11,0,6,21,3672.45,0.506,education,mortgage,master,single,0
57,86380,17641,537,2,1,11,16,3904.83,0.542,other,mortgage,bachelor,married,0
53,60011,26730,670,17,0,11,26,3602.71,0.72,small_business,own,bachelor,married,0
71,27570,13819,651,4,0,12,10,3993.12,1.738,debt_consolidation,rent,bachelor,single,1
62,85380,12767,649,23,0,13,28,3488.74,0.49,home_improvement,rent,other,married,0
64,53969,22068,685,13,0,4,1,2846.99,0.633,home_improvement,own,high_school,single,0
44,73721,11753,603,37,0,1,27,1245.9,0.203,home_improvement,rent,high_school,single,0
35,115480,28710,673,2,1,2,18,3816.53,0.397,home_improvement,rent,high_school,married,0
74,66295,39320,743,5,1,12,4,3518.84,0.637,education,mortgage,master,married,0
52,37077,4284,632,11,0,10,25,1038.91,0.336,debt_consolidation,rent,bachelor,married,1
52,51606,500,782,10,0,12,16,2007.73,0.467,education,mortgage,master,single,0
44,40263,19460,653,38,1,10,15,373.22,0.111,debt_consolidation,own,high_school,single,1
61,70837,500,590,25,0,12,27,3817.9,0.647,debt_consolidation,mortgage,bachelor,widowed,0
72,39848,500,709,0,0,14,25,2333.8,0.703,home_improvement,mortgage,high_school,single,1
69,48178,500,642,15,2,6,12,1056.28,0.263,home_improvement,rent,bachelor,married,1
69,27889,10412,723,8,0,8,29,1240.36,0.534,debt_consolidation,mortgage,high_school,married,1
72,56697,14604,678,4,0,14,12,3924.56,0.831,home_improvement,mortgage,bachelor,single,0
32,64418,8791,627,7,1,3,12,2500.9,0.466,home_improvement,rent,master,divorced,0
59,8000,31683,756,20,0,7,4,1740.66,2.611,debt_consolidation,rent,phd,single,1
22,66489,30790,615,32,1,9,4,2049.4,0.37,education,mortgage,high_school,married,0
23,58857,38146,498,38,0,4,19,484.35,0.099,debt_consolidation,rent,bachelor,married,0
69,40875,15558,711,19,0,11,18,392.59,0.115,small_business,rent,master,married,1
57,110715,29205,674,21,0,7,6,2411.56,0.261,debt_consolidation,rent,high_school,married,0
69,83961,18706,739,12,0,7,10,2096.82,0.3,home_improvement,rent,bachelor,married,0
37,32589,17500,588,38,0,13,22,1500.7,0.553,other,rent,bachelor,single,1
69,80955,9391,632,10,0,12,0,2307.84,0.342,small_business,own,high_school,married,0
22,91112,500,624,17,0,10,6,383.44,0.051,small_business,mortgage,high_school,divorced,0
22,63300,22647,715,29,0,9,2,3781.57,0.717,debt_consolidation,mortgage,high_school,single,0
48,69036,28849,695,32,1,3,12,1245.48,0.216,debt_consolidation,rent,bachelor,married,0
74,68458,500,665,2,0,11,2,379.94,0.067,car,rent,high_school,married,0
43,8000,14883,665,0,0,1,5,761.07,1.141,debt_consolidation,rent,high_school,single,1
57,55328,26899,569,35,0,8,21,472.35,0.102,other,rent,bachelor,single,0
52,54027,10686,703,5,1,4,26,796.56,0.177,debt_consolidation,mortgage,bachelor,single,0
53,95753,29317,705,36,0,2,28,1725.34,0.216,debt_consolidation,rent,high_school,married,0
21,68343,13316,810,28,1,5,14,2978.4,0.523,home_improvement,rent,bachelor,married,0
39,52559,8698,682,10,0,4,3,1162.16,0.265,small_business,other,other,married,0
22,57746,30003,694,12,1,1,4,1800.11,0.374,debt_consolidation,rent,high_school,married,0
73,85584,3794,683,10,0,12,2,3722.15,0.522,other,mortgage,high_school,single,0
64,55385,6301,601,37,0,7,18,1253.7,0.272,home_improvement,rent,high_school,single,0
46,42545,4253,737,24,1,4,24,3199.41,0.902,medical,rent,high_school,married,1
52,53107,1288,646,14,0,8,20,715.49,0.162,home_improvement,mortgage,bachelor,divorced,0
26,83517,16836,636,12,1,9,15,795.45,0.114,small_business,rent,other,married,0
52,72404,8844,640,32,0,8,16,1879.0,0.311,debt_consolidation,rent,bachelor,married,0
24,61106,20863,645,12,0,1,8,1013.0,0.199,small_business,rent,bachelor,married,0
31,64788,500,615,37,0,8,25,3621.81,0.671,home_improvement,rent,bachelor,married,0
37,46006,1529,665,23,0,5,21,297.93,0.078,debt_consolidation,mortgage,high_school,single,1
58,55151,15618,643,19,1,1,8,2429.36,0.529,debt_consolidation,mortgage,high_school,single,0
44,43417,32636,637,16,0,9,13,2456.49,0.679,education,rent,master,married,1
25,52630,19542,684,23,0,9,26,357.5,0.082,debt_consolidation,rent,bachelor,single,0
72,93654,7927,655,25,0,7,22,2957.0,0.379,debt_consolidation,own,high_school,married,0
54,33053,500,611,39,0,7,10,1928.7,0.7,debt_consolidation,rent,high_school,single,1
26,42782,7225,596,31,0,11,25,2919.99,0.819,debt_consolidation,mortgage,bachelor,single,1
42,28642,14490,656,28,0,1,9,3325.01,1.393,car,own,master,married,1
31,23227,500,597,13,1,9,22,1359.31,0.702,debt_consolidation,rent,bachelor,married,1
68,55330,500,592,36,0,1,4,1989.49,0.431,debt_consolidation,rent,master,single,0
36,44559,6149,593,21,0,13,22,1116.97,0.301,debt_consolidation,other,bachelor,widowed,1
53,104042,11911,667,33,2,12,25,885.9,0.102,home_improvement,rent,high_school,single,0
29,52928,14347,733,26,0,7,3,102.32,0.023,home_improvement,rent,other,married,0
26,92234,7669,674,27,0,9,10,3858.16,0.502,debt_consolidation,mortgage,high_school,divorced,0
36,84200,21070,712,21,0,9,26,1819.62,0.259,home_improvement,rent,high_school,single,0
49,54776,16496,645,2,1,5,5,150.97,0.033,debt_consolidation,other,master,married,0
23,112753,10559,659,21,0,12,1,134.86,0.014,small_business,rent,high_school,married,0
40,66713,22725,765,20,0,13,29,1224.58,0.22,debt_consolidation,mortgage,bachelor,single,0
56,97825,21743,708,15,0,6,25,154.36,0.019,medical,mortgage,master,married,0
39,94914,500,715,8,0,2,2,1560.61,0.197,debt_consolidation,mortgage,bachelor,married,0
46,70366,14615,631,12,0,2,17,345.46,0.059,education,mortgage,high_school,married,0
23,78778,25683,649,9,0,10,28,253.08,0.039,debt_consolidation,other,bachelor,married,0
39,75601,27689,678,20,0,9,25,2710.59,0.43,debt_consolidation,own,master,single,0
40,31393,19450,607,39,0,13,17,3636.68,1.39,car,rent,bachelor,single,1
52,61432,12200,484,6,0,1,6,1696.61,0.331,small_business,mortgage,bachelor,married,0
27,86856,20055,677,21,0,10,20,3363.4,0.465,debt_consolidation,rent,other,married,0
72,98154,24693,717,17,0,12,12,214.14,0.026,home_improvement,rent,other,divorced,0
61,41984,16389,653,20,2,12,12,3132.99,0.895,debt_consolidation,rent,bachelor,married,1
53,73220,17743,608,13,0,14,5,344.92,0.057,other,mortgage,high_school,single,0
60,63771,12002,626,9,0,5,2,3369.91,0.634,medical,rent,bachelor,single,0
59,57053,500,508,32,0,14,9,3541.23,0.745,debt_consolidation,mortgage,high_school,single,0
38,68900,12907,626,8,0,7,20,3165.3,0.551,small_business,rent,bachelor,single,0
60,65449,6874,571,17,0,12,4,3300.92,0.605,debt_consolidation,own,bachelor,married,0
21,73535,6912,601,12,0,10,10,2289.79,0.374,education,rent,bachelor,single,0
31,96042,32206,568,16,2,6,3,1133.05,0.142,home_improvement,own,bachelor,married,0
48,79603,26418,560,22,0,6,9,2608.6,0.393,home_improvement,mortgage,phd,married,0
45,67764,500,579,24,0,6,3,1814.21,0.321,debt_consolidation,other,high_school,married,0
70,106615,1981,694,15,0,13,27,120.81,0.014,other,mortgage,high_school,single,0
43,87748,10637,614,23,1,8,12,1959.62,0.268,medical,mortgage,master,married,0
51,57690,7312,572,30,0,7,7,2639.63,0.549,small_business,rent,bachelor,married,0
50,29571,18809,702,10,0,5,5,154.15,0.063,debt_consolidation,mortgage,bachelor,widowed,1
62,35304,500,659,22,0,10,10,2523.31,0.858,debt_consolidation,rent,phd,married,1
55,83330,26502,484,38,1,2,1,2644.87,0.381,home_improvement,rent,bachelor,married,0
27,44242,14471,719,21,0,10,17,716.62,0.194,medical,mortgage,bachelor,married,1
36,34798,10913,655,32,1,6,17,1781.19,0.614,other,rent,high_school,single,1
46,41047,14828,703,17,1,10,21,3860.9,1.129,debt_consolidation,rent,bachelor,married,1
68,42815,9989,634,13,0,5,11,3548.34,0.994,car,rent,bachelor,widowed,1
72,81266,500,762,27,0,4,16,1702.2,0.251,education,rent,bachelor,single,0
69,56081,15143,623,10,1,10,18,1464.4,0.313,debt_consolidation,rent,master,married,0
22,25690,11151,465,23,1,11,16,583.91,0.273,debt_consolidation,rent,bachelor,married,1
21,60776,3546,587,35,1,5,3,237.24,0.047,debt_consolidation,rent,other,married,0
68,65556,28169,685,18,0,9,28,1260.1,0.231,car,mortgage,master,single,0
32,48016,23033,661,12,0,12,16,3767.11,0.941,medical,rent,bachelor,single,1
25,88897,44266,641,32,0,13,15,3838.59,0.518,medical,own,bachelor,single,0
57,49476,25017,580,18,0,2,8,3268.83,0.793,car,own,bachelor,single,1
52,87708,7278,651,31,1,6,10,1468.22,0.201,debt_consolidation,rent,high_school,married,0
29,74919,4130,648,14,0,11,11,660.14,0.106,car,rent,high_school,single,0
61,83165,9068,648,10,0,9,10,2422.58,0.35,medical,rent,high_school,married,0
55,32536,7000,687,22,0,12,12,2621.37,0.967,car,own,phd,married,1
39,62457,16305,662,4,0,10,21,1755.84,0.337,debt_consolidation,mortgage,high_school,single,0
68,58679,500,632,21,0,13,29,2797.42,0.572,other,mortgage,bachelor,single,0
36,24449,22767,579,17,1,5,7,3012.06,1.478,medical,own,bachelor,widowed,1
